X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
107.14,42.86,40.00,0.025170,16.36,0.014265,292.40,0.017610,9.46,0.005323,353.02,0.002750,257.26,0.002948,175.49,0.001237,231.85,0.002062,118.80,0.001127,288.76,0.001055,90.08,0.001280,34.07,0.000769,234.36
128.57,42.86,40.00,0.015828,12.14,0.008594,289.09,0.010019,7.43,0.007331,351.88,0.003825,255.62,0.004178,174.81,0.001214,243.31,0.001867,126.17,0.001041,293.46,0.001120,97.79,0.001466,40.25,0.000857,238.09
150.00,42.86,40.00,0.010513,9.72,0.005570,286.46,0.006248,6.12,0.010513,350.28,0.005570,253.54,0.006248,173.88,0.001175,253.39,0.001664,133.16,0.000950,297.85,0.001175,106.61,0.001664,46.84,0.000950,242.15
171.43,42.86,40.00,0.007331,8.12,0.003825,284.38,0.004178,5.19,0.015828,347.86,0.008594,250.91,0.010019,172.57,0.001120,262.21,0.001466,139.75,0.000857,301.91,0.001214,116.69,0.001867,53.83,0.001041,246.54
192.86,42.86,40.00,0.005323,6.98,0.002750,282.74,0.002948,4.51,0.025170,343.64,0.014265,247.60,0.017610,170.54,0.001055,269.92,0.001280,145.92,0.000769,305.64,0.001237,128.15,0.002062,61.20,0.001127,251.24
214.29,42.86,40.00,0.003996,6.13,0.002050,281.41,0.002168,3.99,0.041955,334.19,0.025806,243.83,0.034643,167.01,0.000983,276.69,0.001113,151.70,0.000686,309.05,0.001245,141.06,0.002233,68.92,0.001201,256.22
235.71,42.86,40.00,0.003084,5.47,0.001574,280.32,0.001649,3.58,0.068477,293.89,0.049918,241.59,0.074916,159.44,0.000909,282.64,0.000964,157.08,0.000610,312.17,0.001243,155.32,0.002362,76.90,0.001257,261.42
257.14,42.86,40.00,0.002435,4.94,0.001239,279.41,0.001287,3.24,0.087605,199.07,0.087605,250.93,0.145902,135.00,0.000835,287.90,0.000835,162.10,0.000542,315.00,0.001239,170.59,0.002435,85.06,0.001287,266.76
278.57,42.86,40.00,0.001961,4.50,0.000995,278.65,0.001028,2.96,0.087887,168.45,0.093581,283.83,0.157804,56.31,0.000763,292.56,0.000723,166.78,0.000482,317.58,0.001238,186.28,0.002442,93.29,0.001290,272.16
300.00,42.86,40.00,0.001606,4.14,0.000813,277.99,0.000836,2.73,0.074087,88.28,0.056868,298.08,0.087391,23.20,0.000696,296.72,0.000628,171.14,0.000429,319.93,0.001242,201.69,0.002382,101.48,0.001265,277.52
0.00,64.29,40.00,0.046021,252.46,0.048913,182.76,0.053061,131.19,0.001571,349.01,0.000815,248.95,0.000822,172.76,0.001579,156.27,0.003002,77.30,0.001614,261.70,0.000785,58.56,0.000669,3.48,0.000472,217.30
21.43,64.29,40.00,0.049868,198.54,0.071871,142.46,0.078722,104.04,0.001912,348.05,0.000998,247.27,0.001007,172.15,0.001574,173.11,0.003094,86.35,0.001653,267.61,0.000871,62.56,0.000778,7.89,0.000536,219.61
42.86,64.29,40.00,0.049918,151.59,0.068477,23.89,0.074916,69.44,0.002362,346.90,0.001243,245.32,0.001257,171.42,0.001574,190.32,0.003084,95.47,0.001649,273.58,0.000964,67.08,0.000909,12.64,0.000610,222.17
64.29,64.29,40.00,0.043918,96.86,0.043918,353.14,0.047510,45.00,0.002972,345.51,0.001580,243.02,0.001601,170.54,0.001580,206.98,0.002972,104.49,0.001601,279.46,0.001064,72.22,0.001064,17.78,0.000695,225.00
